type,name,year,cellar,region,country,varieties,eco,rating,stars,opinions,likes,parker,penin,suckling,price,old_price,offer
Vinos rosados y rosé,Care Solidarity Rosé,2021,Bodegas Añadas,Cariñena,España,Cabernet sauvignon / Tempranillo,,4.71429,5,7,1,-1,-1,-1,"6,40 €",,False
Vinos rosados y rosé,Binifadet Rosado,2021,Bodegas Binifadet,Illa de Menorca,España,Merlot / Monastrell,,0.0,5,0,0,-1,-1,-1,"13,20 €",,False
Vinos rosados y rosé,Chapoutier Belleruche Rosé,2021,M. Chapoutier,Côtes du Rhône,Francia,Garnacha / Cinsaut / Syrah,,0.0,5,0,2,-1,-1,-1,"11,85 €",,False
Vinos rosados y rosé,Mip Classic,2021,Domaine des Diables,Côtes-de-Provence,Francia,Cinsaut / Syrah / Garnacha,,4.5,5,2,0,-1,-1,-1,"12,95 €",,False
Vinos rosados y rosé,Montrodó Rosat,2020,Eccociwine,Sin indicación geográfica,España,Merlot / Petit verdot,,0.0,5,0,0,-1,-1,-1,"7,65 €","9,00 €",True
Vinos rosados y rosé,Pavina Rosé,2021,Bodegas Alta Pavina,Castilla y León,España,Pinot noir,,0.0,5,0,5,-1,-1,-1,"10,85 €",,False
Vinos rosados y rosé,Baigorri Rosado,2021,Bodegas Baigorri,Rioja,España,Tempranillo / Garnacha,,4.0,5,2,4,-1,-1,-1,"7,85 €",,False
Vinos rosados y rosé,Tenuta Ulisse Rosé,2021,Tenuta Ulisse,Sin indicación geográfica,Italia,Merlot,,4.0,5,1,1,-1,-1,-1,"16,90 €",,False
Vinos rosados y rosé,Familia Valdelana Rosado,2021,Bodegas Valdelana,Rioja,España,Garnacha / Tempranillo,,0.0,5,0,0,-1,-1,-1,"6,00 €",,False
Vinos rosados y rosé,Mingua Rosado,2021,Bodegas Fábregas,Somontano,España,Syrah / Garnacha,,4.0,5,1,0,-1,-1,-1,"6,00 €",,False
Vinos rosados y rosé,Protocolo Rosado,2019,Dominio de Eguren,Castilla,España,Bobal / Tempranillo,ECO,2.75,5,4,1,-1,-1,-1,"4,20 €",,False
Vinos rosados y rosé,El Circo Payaso,2020,Grandes Vinos,Cariñena,España,Garnacha,,3.0,5,2,1,-1,-1,-1,"3,90 €",,False
Vinos rosados y rosé,Duc de Foix Rosat,2021,Covides Vinyes i Cellers,Penedès,España,Cabernet sauvignon,,4.125,5,8,1,-1,-1,-1,"4,95 €",,False
